company,company_size,job_title,level,domain,yoe_total,yoe_at_company,total_compensation,location
shopee,"34,130",software-engineer,Senior Expert Software Engineer,Distributed Systems (Back-End),10 yrs,5 yrs,"$280,499","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Senior Expert Software Engineer,Distributed Systems (Back-End),10 yrs,5 yrs,"$325,551","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Senior Software Engineer,Distributed Systems (Back-End),10 yrs,4 yrs,"$153,342","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Expert Software Engineer,Distributed Systems (Back-End),10 yrs,4 yrs,"$126,941","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Senior Software Engineer,Web Development (Front-End),10 yrs,3 yrs,"$90,000","Shenzhen, GD, China"
shopee,"34,130",software-engineer,Senior Software Engineer,iOS,5 yrs,1 yr,"$49,084","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Software Engineer,ML / AI,3 yrs,2 yrs,"$74,289","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Senior Software Engineer,ML / AI,6 yrs,2 yrs,"$134,421","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Software Engineer,API Development (Back-End),2 yrs,2 yrs,"$78,001","Singapore, SG, Singapore"
shopee,"34,130",software-engineer,Senior Software Engineer,Testing (SDET),4 yrs,3 yrs,"$69,427","Shenzhen, GD, China"
shopee,"34,130",data-scientist,Expert,AI,5 yrs,5 yrs,"$116,194","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,L1,-,0 yrs,0 yrs,"$49,256","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,L3,Credit,1 yr,1 yr,"$84,000","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,hidden,hidden,5-10 yrs,5-10 yrs,"$150,105","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,Senior,Image Processing,5 yrs,2 yrs,"$122,417","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,Senior,AI,8 yrs,1 yr,"$262,543","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,L3,-,3 yrs,1 yr,"$83,549","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,Senior,Analytics,3 yrs,2 yrs,"$85,129","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,Senior Software Engineer,Machine learning(in search),6 yrs,3 yrs,"$84,035","Singapore, SG, Singapore"
shopee,"34,130",data-scientist,hidden,hidden,5-10 yrs,5-10 yrs,"$133,750","Singapore, SG, Singapore"
tiki,"2,000",software-engineer,L4,ML / AI,3 yrs,1 yr,"$25,000","Hanoi, HN, Vietnam"
tiki,"2,000",software-engineer,L3,Data,4 yrs,2 yrs,"$37,000","Ho Chi Minh City, HC, Vietnam"
tiki,"2,000",software-engineer,L3,Data,4 yrs,2 yrs,"$27,510","Ho Chi Minh City, HC, Vietnam"
tiki,"2,000",software-engineer,L3,Data,4 yrs,2 yrs,"$28,000","Ho Chi Minh City, HC, Vietnam"
tiki,"2,000",software-engineer,L2,Data,1 yr,1 yr,"$12,000","Ho Chi Minh City, HC, Vietnam"
tiki,"2,000",software-engineer,L3,Data,1 yr,1 yr,"$10,800","Hanoi, HN, Vietnam"
tiki,"2,000",software-engineer,L3,Data,1 yr,1 yr,"$9,120","Hanoi, HN, Vietnam"
grab,"36,080",software-engineer,G4,Distributed Systems (Back-End),7 yrs,2 yrs,"$134,766","Singapore, SG, Singapore"
grab,"36,080",software-engineer,G4,Android,7 yrs,3 yrs,"$110,000","Singapore, SG, Singapore"
grab,"36,080",software-engineer,G4,Web Development (Front-End),6 yrs,2 yrs,"$29,180","Ho Chi Minh City, HC, Vietnam"
grab,"36,080",software-engineer,G4,Distributed Systems (Back-End),2 yrs,2 yrs,"$101,024","Singapore, SG, Singapore"
grab,"36,080",software-engineer,hidden,hidden,11+ yrs,11+ yrs,"$274,509","Singapore, SG, Singapore"
grab,"36,080",software-engineer,G4,Distributed Systems (Back-End),7 yrs,1 yr,"$139,022","Singapore, SG, Singapore"
grab,"36,080",software-engineer,G4,API Development (Back-End),4 yrs,4 yrs,"$37,828","Bengaluru, KA, India"
grab,"36,080",software-engineer,G4,Full Stack,7 yrs,2 yrs,"$121,385","Singapore, SG, Singapore"
grab,"36,080",software-engineer,G4,Distributed Systems (Back-End),2 yrs,2 yrs,"$29,050","Kuala Lumpur, KL, Malaysia"
grab,"36,080",software-engineer,G4,API Development (Back-End),4 yrs,4 yrs,"$37,602","Bengaluru, KA, India"
grab,"36,080",data-scientist,G3,Data Science,1 yr,0 yrs,"$79,094","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G3,Data,2 yrs,1 yr,"$59,515","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G3,Product,2 yrs,2 yrs,"$52,906","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G3,Analytics,4 yrs,2 yrs,"$61,724","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G6,Analytics,10 yrs,5 yrs,"$211,154","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G4,Analytics,5 yrs,2 yrs,"$109,304","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G4,Geo,4 yrs,2 yrs,"$148,444","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G5,new,8 yrs,0 yrs,"$155,008","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G4,DS,1 yr,1 yr,"$101,114","Singapore, SG, Singapore"
grab,"36,080",data-scientist,G5,hidden,6 yrs,3 yrs,"$184,219","Singapore, SG, Singapore"
grab,"36,080",product-manager,G3,Technical,2 yrs,1 yr,"$65,000","Kuala Lumpur, KL, Malaysia"
grab,"36,080",product-manager,G5,Product,5 yrs,3 yrs,"$189,298","Singapore, SG, Singapore"
grab,"36,080",product-manager,G4,Grab Financial Group,5 yrs,2 yrs,"$102,481","Singapore, SG, Singapore"
grab,"36,080",product-manager,G4,Product,12 yrs,2 yrs,"$8,066","Singapore, SG, Singapore"
grab,"36,080",product-manager,G4,Product,8 yrs,2 yrs,"$118,448","Singapore, SG, Singapore"
grab,"36,080",product-manager,G3,Product,3 yrs,2 yrs,"$92,118","Singapore, SG, Singapore"
grab,"36,080",product-manager,G3,Product,1 yr,1 yr,"$85,021","Singapore, SG, Singapore"
grab,"36,080",product-manager,G3,Product,1 yr,1 yr,"$57,273","Singapore, SG, Singapore"
grab,"36,080",product-manager,hidden,hidden,5-10 yrs,5-10 yrs,"$343,312","Singapore, SG, Singapore"
grab,"36,080",product-manager,G4,Product,6 yrs,2 yrs,"$115,891","Singapore, SG, Singapore"
grab,"36,080",software-engineering-manager,Senior Engineering Manager,Data,18 yrs,3 yrs,"$224,162","Singapore, SG, Singapore"
grab,"36,080",software-engineering-manager,Senior Engineering Manager,Distributed Systems (Back-End),15 yrs,3 yrs,"$211,986","Singapore, SG, Singapore"
grab,"36,080",software-engineering-manager,Engineering Manager II,Testing (SDET),13 yrs,2 yrs,"$78,445","Bengaluru, KA, India"
grab,"36,080",software-engineering-manager,Engineering Manager II,Distributed Systems (Back-End),13 yrs,4 yrs,"$157,382","Singapore, SG, Singapore"
grab,"36,080",software-engineering-manager,Senior Engineering Manager,Distributed Systems (Back-End),10 yrs,5 yrs,"$460,000","Seattle, WA"
grab,"36,080",software-engineering-manager,Engineering Manager I,Distributed Systems (Back-End),8 yrs,4 yrs,"$328,000","Seattle, WA"
grab,"36,080",software-engineering-manager,Engineering Manager II,Mobile (iOS + Android),9 yrs,4 yrs,"$240,000","Singapore, SG, Singapore"
grab,"36,080",software-engineering-manager,Engineering Manager I,Mobile (iOS + Android),12 yrs,5 yrs,"$181,936","Singapore, SG, Singapore"
grab,"36,080",software-engineering-manager,Engineering Manager II,iOS,11 yrs,4 yrs,"$203,830","Singapore, SG, Singapore"
grab,"36,080",technical-program-manager,G4,Data,9 yrs,1 yr,"$155,119","Singapore, SG, Singapore"
grab,"36,080",technical-program-manager,G4,TPM,11+ yrs,11+ yrs,"$117,650","Singapore, SG, Singapore"
grab,"36,080",technical-program-manager,G3,TPM,7 yrs,1 yr,"$36,376","Bengaluru, KA, India"
grab,"36,080",technical-program-manager,G4,Tech,8 yrs,0 yrs,"$144,160","Singapore, SG, Singapore"
grab,"36,080",technical-program-manager,G4,TPM,5-10 yrs,5-10 yrs,"$100,879","Singapore, SG, Singapore"
grab,"36,080",technical-program-manager,G5,General,7 yrs,2 yrs,"$169,000","Singapore, SG, Singapore"
grab,"36,080",technical-program-manager,G5,General,10 yrs,2 yrs,"$159,000","Singapore, SG, Singapore"
grab,"36,080",technical-program-manager,G5,Ot,12 yrs,3 yrs,"$145,000","Singapore, SG, Singapore"
grab,"36,080",product-designer,G5,User Experience (UX),7 yrs,2 yrs,"$118,345","Singapore, SG, Singapore"
grab,"36,080",product-designer,L1,User Experience (UX),3 yrs,2 yrs,"$80,000","New York, NY"
grab,"36,080",product-designer,G5,User Research,10 yrs,2 yrs,"$177,672","Singapore, SG, Singapore"
grab,"36,080",product-designer,G3,1111,1 yr,1 yr,"$104,000","New York, NY"
grab,"36,080",product-designer,G3,User Experience (UX),3 yrs,0 yrs,"$65,561","Singapore, SG, Singapore"
grab,"36,080",product-designer,G4,User Experience (UX),2-4 yrs,2-4 yrs,"$115,671","Singapore, SG, Singapore"
grab,"36,080",product-designer,G3,User Experience (UX),5-10 yrs,5-10 yrs,"$70,955","Singapore, SG, Singapore"
grab,"36,080",product-designer,G5,Web and Mobile,5 yrs,0 yrs,"$155,577","Singapore, SG, Singapore"
grab,"36,080",product-designer,G4,User Experience (UX),7 yrs,0 yrs,"$122,924","Singapore, SG, Singapore"
gojek-tech,570,software-engineer,L4,Distributed Systems (Back-End),10 yrs,2 yrs,"$85,138","Bengaluru, KA, India"
gojek-tech,570,software-engineer,L1,API Development (Back-End),2 yrs,0 yrs,"$11,200","Jakarta, JK, Indonesia"
gojek-tech,570,software-engineer,L3,API Development (Back-End),5 yrs,1 yr,"$25,935","Jakarta, JK, Indonesia"
gojek-tech,570,software-engineer,L3,Android,8 yrs,2 yrs,"$51,415","Bengaluru, KA, India"
gojek-tech,570,software-engineer,L2,Web Development (Front-End),7 yrs,2 yrs,"$37,560","Jakarta, JK, Indonesia"
gojek-tech,570,software-engineer,L1,API Development (Back-End),3 yrs,2 yrs,"$44,851","Bengaluru, KA, India"
gojek-tech,570,software-engineer,L4,Distributed Systems (Back-End),9 yrs,2 yrs,"$79,277","Bengaluru, KA, India"
gojek-tech,570,software-engineer,L4,Mobile (iOS + Android),14 yrs,4 yrs,"$82,885","Bengaluru, KA, India"
gojek-tech,570,software-engineer,L1,Mobile (iOS + Android),2 yrs,1 yr,"$9,100","Jakarta, JK, Indonesia"
gojek-tech,570,software-engineer,L4,Distributed Systems (Back-End),8 yrs,4 yrs,"$53,412","Bengaluru, KA, India"
gojek-tech,570,data-scientist,L3,Data Scientist,6 yrs,2 yrs,"$54,948","Bengaluru, KA, India"
gojek-tech,570,data-scientist,L4,Machine Learning,7 yrs,4 yrs,"$102,882","Singapore, SG, Singapore"
gojek-tech,570,data-scientist,L3,Data Science,4 yrs,0 yrs,"$35,000","Jakarta, JK, Indonesia"
gojek-tech,570,data-scientist,L4,Data,9 yrs,1 yr,"$70,262","Bengaluru, KA, India"
gojek-tech,570,data-scientist,L3,Data Science,5 yrs,3 yrs,"$30,665","Bengaluru, KA, India"
gojek-tech,570,data-scientist,L3,hidden,5 yrs,1 yr,"$47,555","Bengaluru, KA, India"
gojek-tech,570,data-scientist,L3,hidden,7 yrs,3 yrs,"$32,765","Bengaluru, KA, India"
gojek-tech,570,data-scientist,L3,-,7 yrs,2 yrs,"$38,628","Bengaluru, KA, India"
gojek-tech,570,data-scientist,L3,hidden,7 yrs,2 yrs,"$54,782","Bengaluru, KA, India"
gojek-tech,570,data-scientist,L3,Data Science,4 yrs,2 yrs,"$40,000","Bangkok, BM, Thailand"
gojek-tech,570,software-engineering-manager,L5,Full Stack,15 yrs,2 yrs,"$140,000","Jakarta, JK, Indonesia"
gojek-tech,570,software-engineering-manager,L5,Full Stack,9 yrs,5 yrs,"$102,083","Bengaluru, KA, India"
gojek-tech,570,software-engineering-manager,L5,Mobile (iOS + Android),10 yrs,3 yrs,"$71,925","Bengaluru, KA, India"
gojek-tech,570,software-engineering-manager,L4,Data,6 yrs,6 yrs,"$60,342","Bengaluru, KA, India"
gojek-tech,570,software-engineering-manager,L8,-,7 yrs,5 yrs,"$180,000","Bengaluru, KA, India"
gojek-tech,570,software-engineering-manager,L5,Distributed Systems (Back-End),12 yrs,0 yrs,"$94,448","Bengaluru, KA, India"
gojek-tech,570,software-engineering-manager,L5,Full Stack,14 yrs,2 yrs,"$143,969","Bengaluru, KA, India"
gojek-tech,570,software-engineering-manager,L6,Distributed Systems (Back-End),10 yrs,6 yrs,"$297,996","Bengaluru, KA, India"
gojek-tech,570,software-engineering-manager,L4,DevOps,9 yrs,4 yrs,"$70,000","Bengaluru, KA, India"
riot-games,"3,500",software-engineer,P4,Security,13 yrs,7 yrs,"$292,400","Santa Monica, CA"
riot-games,"3,500",software-engineer,P4,Distributed Systems (Back-End),5 yrs,2 yrs,"$310,000","Los Angeles, CA"
riot-games,"3,500",software-engineer,P2,SDK,7 yrs,3 yrs,"$206,500","Los Angeles, CA"
riot-games,"3,500",software-engineer,P2,Distributed Systems (Back-End),10 yrs,2 yrs,"$102,000","Buenos Aires, DF, Argentina"
riot-games,"3,500",software-engineer,P2,hidden,7 yrs,1 yr,"$219,000","Los Angeles, CA"
riot-games,"3,500",software-engineer,P4,API Development (Back-End),8 yrs,8 yrs,"$320,500","Los Angeles, CA"
riot-games,"3,500",software-engineer,P3,AR / VR,7 yrs,4 yrs,"$189,700","Chicago, IL"
riot-games,"3,500",software-engineer,P2,Full Stack,6 yrs,2 yrs,"$207,000","Los Angeles, CA"
riot-games,"3,500",software-engineer,P5,Distributed Systems (Back-End),9 yrs,5 yrs,"$319,000","Los Angeles, CA"
riot-games,"3,500",software-engineering-manager,P4,API Development (Back-End),7 yrs,3 yrs,"$329,550","Los Angeles, CA"
riot-games,"3,500",software-engineering-manager,P3,Distributed Systems (Back-End),9 yrs,1 yr,"$157,896","Glasgow, SC, United Kingdom"
riot-games,"3,500",software-engineering-manager,P3,Gaming,12 yrs,0 yrs,"$320,500","Bellevue, WA"
riot-games,"3,500",software-engineering-manager,P4,Full Stack,7 yrs,7 yrs,"$318,000","Los Angeles, CA"
riot-games,"3,500",software-engineering-manager,P4,Full Stack,7 yrs,7 yrs,"$315,000","Los Angeles, CA"
riot-games,"3,500",software-engineering-manager,P4,hidden,15 yrs,3 yrs,"$275,000","Los Angeles, CA"
riot-games,"3,500",software-engineering-manager,P4,hidden,20 yrs,0 yrs,"$330,500",Seattle 
riot-games,"3,500",software-engineering-manager,P4,Full Stack,20 yrs,1 yr,"$240,000","Los Angeles, CA"
riot-games,"3,500",software-engineering-manager,P4,Full Stack,10 yrs,0 yrs,"$329,688","Seattle, WA"
riot-games,"3,500",software-engineering-manager,P3,Full Stack,10 yrs,3 yrs,"$308,000","Los Angeles, CA"
riot-games,"3,500",product-manager,P4,Technical,5 yrs,1 yr,"$208,000","Los Angeles, CA"
riot-games,"3,500",product-manager,P3,Technical,7 yrs,7 yrs,"$201,000","Los Angeles, CA"
riot-games,"3,500",product-manager,P6,Technical,15 yrs,3 yrs,"$625,000","Los Angeles, CA"
riot-games,"3,500",product-manager,P3,Operations,7 yrs,1 yr,"$162,500","Los Angeles, CA"
riot-games,"3,500",product-manager,-,Product,3 yrs,3 yrs,"$75,000","Los Angeles, CA"
riot-games,"3,500",product-manager,Product Manager,Product,19 yrs,3 yrs,"$175,000","Los Angeles, CA"
riot-games,"3,500",product-manager,hidden,hidden,5-10 yrs,5-10 yrs,"$290,500","Los Angeles, CA"
riot-games,"3,500",business-analyst,P3,Data,7 yrs,2 yrs,"$106,000","Dallas, TX"
riot-games,"3,500",business-analyst,P3,IC,7 yrs,4 yrs,"$150,000","Los Angeles, CA"
riot-games,"3,500",business-analyst,hidden,hidden,5-10 yrs,5-10 yrs,"$184,000","Los Angeles, CA"
riot-games,"3,500",business-analyst,P3,hidden,5-10 yrs,5-10 yrs,"$206,250","Los Angeles, CA"
riot-games,"3,500",business-analyst,P4,Corporate Finance,8 yrs,6 yrs,"$185,000","Los Angeles, CA"
riot-games,"3,500",data-scientist,P4,AI,7 yrs,0 yrs,"$170,000","Miami, FL"
riot-games,"3,500",data-scientist,P4,ML,7 yrs,2 yrs,"$293,000","Los Angeles, CA"
riot-games,"3,500",data-scientist,-,Data Analyst,5 yrs,3 yrs,"$185,000","Los Angeles, CA"
riot-games,"3,500",data-scientist,P4,Data Engineering,8 yrs,1 yr,"$190,000","Los Angeles, CA"
riot-games,"3,500",product-designer,P1,User Experience (UX),2 yrs,1 yr,"$110,240","Los Angeles, CA"
riot-games,"3,500",product-designer,P1,User Interfaces,2 yrs,1 yr,"$110,000","Los Angeles, CA"
riot-games,"3,500",product-designer,Senior Designer,User Experience (UX),6 yrs,2 yrs,"$250,000","Los Angeles, CA"
riot-games,"3,500",product-designer,P4,User Experience (UX),11 yrs,1 yr,"$243,000","Los Angeles, CA"
riot-games,"3,500",product-designer,P4,User Interfaces,13 yrs,6 yrs,"$228,000","Los Angeles, CA"
